what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1465743212452
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1465743212452
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1465743212452
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1465743212452
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1465743212452
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1465743212452
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1465743212452
started,bundle,org.eclipse.m2e.logback.configuration,1.3.1.20130219-1424,"org.eclipse.m2e.logback.configuration",1465743212452
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1465743212484
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1465743212499
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1465743212515
os,sysinfo,,,"win32",1465743212515
arch,sysinfo,,,"x86",1465743212515
ws,sysinfo,,,"win32",1465743212515
locale,sysinfo,,,"en_IN",1465743212515
processors,sysinfo,,,"4",1465743212515
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1465743212515
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1465743212515
java.specification.name,sysinfo,,,"Java Platform API Specification",1465743212515
java.specification.vendor,sysinfo,,,"Oracle Corporation",1465743212515
java.specification.version,sysinfo,,,"1.7",1465743212515
java.vendor,sysinfo,,,"Oracle Corporation",1465743212515
java.version,sysinfo,,,"1.7.0_25",1465743212515
java.vm.info,sysinfo,,,"mixed mode, sharing",1465743212515
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1465743212515
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1465743212515
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1465743212515
java.vm.specification.version,sysinfo,,,"1.7",1465743212515
java.vm.vendor,sysinfo,,,"Oracle Corporation",1465743212515
java.vm.version,sysinfo,,,"23.25-b01",1465743212515
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1465743212657
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1465743212835
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1465743212955
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1465743213035
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1465743213308
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1465743213411
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1465743213512
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1465743213527
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1465743213560
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1465743214272
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1465743214295
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1465743214295
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1465743214327
started,bundle,org.eclipse.m2e.discovery,1.3.1.20130219-1424,"org.eclipse.m2e.discovery",1465743214358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465743214748
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1465743219114
